Type,City,Rooms,Price,lat,lng,type,year,lot size,Driveway,Garage,Basement,Risk Level
House,Mercier/Hochelaga-Maisonneuve,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,349000,45.60188,-73.533093,Bungalow Semi-detached,1953,2651,2,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,8 Rooms  0+2 Bedrooms  1+1 Bathrooms/Powder rooms  ,420000,45.550884,-73.535767,Divided,1928,1237,0,0,Basement 6 feet or +,0.0
House,Ville-Marie,8 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,995000,45.497413,-73.552884,Two or more storey Attached,2003,,0,1,,0.0
Condo,Ville-Marie,6 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,649000,45.522374,-73.563403,Divided,1923,1660,1,0,,0.25
Condo,Lachine,8 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,375000,45.43679967,-73.7064554,Divided,1999,1006,1,1,Located on a river,0.0
House,Saint-Laurent,7 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,559900,45.52037603,-73.68643705,Two or more storey Detached,1953,4275,1,1,,0.15
House,LaSalle,8 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,659000,45.416324,-73.633016,Two or more storey Semi-detached,1976,3821,2,1,,0.0
Triplex,Villeray/Saint-Michel/Parc-Extension,,729000,45.5422958,-73.63511776,Attached,1940,2000,0,0,,0.0
Condo,Ville-Marie,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,335000,45.51822194,-73.55566907,Divided,2013,763,0,0,Elevator,0.15
4plex,Verdun/Île-des-Soeurs,,789000,45.636713,-73.499756,Attached,1929,3216,2,0,Basement 6 feet or +,0.0
Triplex,Ahuntsic-Cartierville,,837900,45.541531,-73.672686,Detached,1961,4800,2,1,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,7 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,537500,45.526272,-73.607198,Undivided,1910,1189,0,0,,0.0
Triplex,LaSalle,,1089000,45.43299957,-73.58920095,Detached,1949,6720,2,1,Located on a fleuve (river),0.5
Condo,Le Plateau-Mont-Royal,7 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,899000,45.49428512,-73.55990838,Divided,2018,1066,0,1,,0.0
Triplex,Ville-Marie,,1998000,45.51053942,-73.56316065,Attached,1860,,0,0,,0.0
House,Mercier/Hochelaga-Maisonneuve,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,349000,45.60188,-73.533093,Bungalow Semi-detached,1953,2651,2,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,8 Rooms  0+2 Bedrooms  1+1 Bathrooms/Powder rooms  ,420000,45.550884,-73.535767,Divided,1928,1237,0,0,Basement 6 feet or +,0.0
House,Ville-Marie,8 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,995000,45.497413,-73.552884,Two or more storey Attached,2003,,0,1,,0.0
Condo,Ville-Marie,6 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,649000,45.522374,-73.563403,Divided,1923,1660,1,0,,0.25
Condo,Lachine,8 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,375000,45.43679967,-73.7064554,Divided,1999,1006,1,1,Located on a river,0.0
House,Saint-Laurent,7 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,559900,45.52037603,-73.68643705,Two or more storey Detached,1953,4275,1,1,,0.15
House,LaSalle,8 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,659000,45.416324,-73.633016,Two or more storey Semi-detached,1976,3821,2,1,,0.0
Triplex,Villeray/Saint-Michel/Parc-Extension,,729000,45.5422958,-73.63511776,Attached,1940,2000,0,0,,0.0
Condo,Ville-Marie,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,335000,45.51822194,-73.55566907,Divided,2013,763,0,0,Elevator,0.15
4plex,Verdun/Île-des-Soeurs,,789000,45.636713,-73.499756,Attached,1929,3216,2,0,Basement 6 feet or +,0.0
Triplex,Ahuntsic-Cartierville,,837900,45.541531,-73.672686,Detached,1961,4800,2,1,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,7 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,537500,45.526272,-73.607198,Undivided,1910,1189,0,0,,0.0
Triplex,LaSalle,,1089000,45.43299957,-73.58920095,Detached,1949,6720,2,1,Located on a fleuve (river),0.5
Condo,Le Plateau-Mont-Royal,7 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,899000,45.49428512,-73.55990838,Divided,2018,1066,0,1,,0.0
Triplex,Ville-Marie,,1998000,45.51053942,-73.56316065,Attached,1860,,0,0,,0.0
House,Mercier/Hochelaga-Maisonneuve,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,349000,45.60188,-73.533093,Bungalow Semi-detached,1953,2651,2,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,8 Rooms  0+2 Bedrooms  1+1 Bathrooms/Powder rooms  ,420000,45.550884,-73.535767,Divided,1928,1237,0,0,Basement 6 feet or +,0.0
House,Ville-Marie,8 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,995000,45.497413,-73.552884,Two or more storey Attached,2003,,0,1,,0.0
Condo,Ville-Marie,6 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,649000,45.522374,-73.563403,Divided,1923,1660,1,0,,0.25
Condo,Lachine,8 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,375000,45.43679967,-73.7064554,Divided,1999,1006,1,1,Located on a river,0.0
House,Saint-Laurent,7 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,559900,45.52037603,-73.68643705,Two or more storey Detached,1953,4275,1,1,,0.15
House,LaSalle,8 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,659000,45.416324,-73.633016,Two or more storey Semi-detached,1976,3821,2,1,,0.0
Triplex,Villeray/Saint-Michel/Parc-Extension,,729000,45.5422958,-73.63511776,Attached,1940,2000,0,0,,0.0
Condo,Ville-Marie,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,335000,45.51822194,-73.55566907,Divided,2013,763,0,0,Elevator,0.15
4plex,Verdun/Île-des-Soeurs,,789000,45.636713,-73.499756,Attached,1929,3216,2,0,Basement 6 feet or +,0.0
Triplex,Ahuntsic-Cartierville,,837900,45.541531,-73.672686,Detached,1961,4800,2,1,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,7 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,537500,45.526272,-73.607198,Undivided,1910,1189,0,0,,0.0
Triplex,LaSalle,,1089000,45.43299957,-73.58920095,Detached,1949,6720,2,1,Located on a fleuve (river),0.5
Condo,Le Plateau-Mont-Royal,7 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,899000,45.49428512,-73.55990838,Divided,2018,1066,0,1,,0.0
Triplex,Ville-Marie,,1998000,45.51053942,-73.56316065,Attached,1860,,0,0,,0.0
House,Mercier/Hochelaga-Maisonneuve,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,349000,45.60188,-73.533093,Bungalow Semi-detached,1953,2651,2,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,8 Rooms  0+2 Bedrooms  1+1 Bathrooms/Powder rooms  ,420000,45.550884,-73.535767,Divided,1928,1237,0,0,Basement 6 feet or +,0.0
House,Ville-Marie,8 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,995000,45.497413,-73.552884,Two or more storey Attached,2003,,0,1,,0.0
Condo,Ville-Marie,6 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,649000,45.522374,-73.563403,Divided,1923,1660,1,0,,0.25
Condo,Lachine,8 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,375000,45.43679967,-73.7064554,Divided,1999,1006,1,1,Located on a river,0.0
House,Saint-Laurent,7 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,559900,45.52037603,-73.68643705,Two or more storey Detached,1953,4275,1,1,,0.15
House,LaSalle,8 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,659000,45.416324,-73.633016,Two or more storey Semi-detached,1976,3821,2,1,,0.0
Triplex,Villeray/Saint-Michel/Parc-Extension,,729000,45.5422958,-73.63511776,Attached,1940,2000,0,0,,0.0
Condo,Ville-Marie,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,335000,45.51822194,-73.55566907,Divided,2013,763,0,0,Elevator,0.15
4plex,Verdun/Île-des-Soeurs,,789000,45.636713,-73.499756,Attached,1929,3216,2,0,Basement 6 feet or +,0.0
Triplex,Ahuntsic-Cartierville,,837900,45.541531,-73.672686,Detached,1961,4800,2,1,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,7 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,537500,45.526272,-73.607198,Undivided,1910,1189,0,0,,0.0
Triplex,LaSalle,,1089000,45.43299957,-73.58920095,Detached,1949,6720,2,1,Located on a fleuve (river),0.5
Condo,Le Plateau-Mont-Royal,7 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,899000,45.49428512,-73.55990838,Divided,2018,1066,0,1,,0.0
Triplex,Ville-Marie,,1998000,45.51053942,-73.56316065,Attached,1860,,0,0,,0.0
House,Mercier/Hochelaga-Maisonneuve,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,349000,45.60188,-73.533093,Bungalow Semi-detached,1953,2651,2,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,8 Rooms  0+2 Bedrooms  1+1 Bathrooms/Powder rooms  ,420000,45.550884,-73.535767,Divided,1928,1237,0,0,Basement 6 feet or +,0.0
House,Ville-Marie,8 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,995000,45.497413,-73.552884,Two or more storey Attached,2003,,0,1,,0.0
